rank,country
1,Argentina
2,France
3,Brazil
4,England
5,Belgium
6,Croatia
7,Netherlands
8,Italy
9,Portugal
10,Spain
11,USA
12,Mexico
13,Switzerland
14,Morocco
15,Germany
16,Uruguay
17,Colombia
18,Senegal
19,Denmark
20,Japan
21,Peru
22,IR Iran
23,Sweden
24,Ukraine
25,Serbia
26,Poland
27,Australia
28,Korea Republic
29,Austria
30,Scotland
31,Tunisia
32,Chile
33,Algeria
34,Egypt
35,Wales
36,Hungary
37,Czechia
38,Russia
39,Nigeria
40,Ecuador
41,Türkiye
42,Cameroon
43,Canada
44,Norway
45,Panama
46,Costa Rica
47,Slovakia
48,Romania
49,Paraguay
50,Greece
51,Mali
52,Côte d'Ivoire
53,Republic of Ireland
54,Saudi Arabia
55,Finland
56,Burkina Faso
57,Venezuela
58,Jamaica
59,Qatar
60,Ghana
61,Slovenia
62,Bosnia and Herzegovina
63,South Africa
64,Northern Ireland
65,Albania
66,Cabo Verde
67,Iceland
68,North Macedonia
69,Congo DR
70,Iraq
71,Montenegro
72,United Arab Emirates
73,Oman
74,Uzbekistan
75,El Salvador
76,Israel
77,Bulgaria
78,Georgia
79,Honduras
80,China PR
81,Guinea
82,Jordan
83,Bolivia
84,Zambia
85,Gabon
86,Bahrain
87,Haiti
88,Curaçao
89,Luxembourg
90,Armenia
91,Equatorial Guinea
92,Uganda
93,Benin
94,Syria
95,Vietnam
96,Palestine
97,Kyrgyz Republic
98,Belarus
99,India
100,Lebanon
101,Mauritania
102,Trinidad and Tobago
103,Aotearoa New Zealand
104,Kazakhstan
105,Kenya
106,Congo
107,Guatemala
108,Madagascar
109,Kosovo
110,Tajikistan
111,Estonia
112,Guinea-Bissau
113,Thailand
114,Namibia
115,Korea DPR
116,Angola
117,Mozambique
118,Cyprus
119,The Gambia
120,Sierra Leone
121,Azerbaijan
122,Togo
123,Malawi
124,Tanzania
125,Zimbabwe
126,Central African Republic
127,Libya
128,Niger
129,Faroe Islands
130,Comoros
131,Sudan
132,Antigua and Barbuda
133,Solomon Islands
134,Latvia
135,Philippines
136,Malaysia
137,Kuwait
138,Turkmenistan
139,Rwanda
140,Burundi
141,Nicaragua
142,Ethiopia
143,Suriname
144,Lithuania
145,St Kitts and Nevis
146,Eswatini
147,Botswana
148,Liberia
149,"Hong Kong, China"
150,Indonesia
151,Lesotho
152,Dominican Republic
153,Chinese Taipei
154,Andorra
155,Maldives
156,Yemen
157,Afghanistan
158,Singapore
159,Papua New Guinea
160,Myanmar
161,New Caledonia
162,Tahiti
163,Puerto Rico
164,Moldova
165,Vanuatu
166,Barbados
167,South Sudan
168,Guyana
169,Fiji
170,St Lucia
171,Malta
172,Cuba
173,Bermuda
174,Grenada
175,Nepal
176,Cambodia
177,Belize
178,St Vincent and the Grenadines
179,Montserrat
180,Mauritius
181,Chad
182,Macau
183,Mongolia
184,Dominica
185,Bhutan
186,São Tomé and Príncipe
187,Laos
188,Cook Islands
189,Bangladesh
190,Brunei Darussalam
191,Djibouti
192,Timor-Leste
193,Cayman Islands
194,Seychelles
195,Eritrea
196,Somalia
197,Bahamas
198,Gibraltar
199,Aruba
200,Liechtenstein
201,Pakistan
202,Turks and Caicos Islands
203,Guam
204,Sri Lanka
205,US Virgin Islands
206,British Virgin Islands
207,Anguilla
208,San Marino
